date,average_price
2015-01-18,1.44
2015-01-18,1.23
2015-01-18,2.0
2015-01-18,1.52
2015-01-18,1.64
2015-01-18,1.02
2015-01-18,1.24
2015-01-18,1.25
2015-01-18,2.15
2015-01-18,1.14
2015-01-18,1.81
2015-01-18,0.93
2015-01-18,1.37
2015-01-18,1.02
2015-01-18,1.84
2015-01-18,0.76
2015-01-18,1.28
2015-01-18,0.99
2015-01-18,1.1
2015-01-18,1.1
2015-01-18,1.9
2015-01-18,1.07
2015-01-18,1.88
2015-01-18,1.08
2015-01-18,1.73
2015-01-18,1.24
2015-01-18,1.94
2015-01-18,1.39
2015-01-18,2.35
2015-01-18,0.77
2015-01-18,1.2
2015-01-18,1.14
2015-01-18,1.96
2015-01-18,1.27
2015-01-18,1.82
2015-01-18,1.06
2015-01-18,1.63
2015-01-18,0.89
2015-01-18,1.29
2015-01-18,1.06
2015-01-18,1.79
2015-01-18,1.3
2015-01-18,1.87
2015-01-18,1.19
2015-01-18,1.65
2015-01-18,1.08
2015-01-18,1.81
2015-01-18,1.03
2015-01-18,0.98
2015-01-18,1.37
2015-01-18,2.08
2015-01-18,1.32
2015-01-18,1.94
2015-01-18,1.12
2015-01-18,1.88
2015-01-18,1.33
2015-01-18,1.79
2015-01-18,1.4
2015-01-18,1.93
2015-01-18,0.67
2015-01-18,1.36
2015-01-18,1.47
2015-01-18,1.55
2015-01-18,1.02
2015-01-18,1.8
2015-01-18,1.11
2015-01-18,1.24
2015-01-18,1.22
2015-01-18,1.97
2015-01-18,1.18
2015-01-18,1.62
2015-01-18,1.18
2015-01-18,1.48
2015-01-18,1.22
2015-01-18,1.13
2015-01-18,1.01
2015-01-18,1.29
2015-01-18,1.22
2015-01-18,1.27
2015-01-18,1.2
2015-01-18,1.45
2015-01-18,1.15
2015-01-18,1.93
2015-01-18,0.79
2015-01-18,1.27
2015-01-18,1.19
2015-01-18,1.79
2015-01-18,1.18
2015-01-18,1.44
2015-01-18,1.28
2015-01-18,1.92
2015-01-18,1.4
2015-01-18,1.84
2015-01-18,1.27
2015-01-18,1.73
2015-01-18,1.03
2015-01-18,1.42
2015-01-18,0.96
2015-01-18,1.33
2015-01-18,0.8
2015-01-18,1.71
2015-01-25,1.06
2015-01-25,1.89
2015-01-25,1.1
2015-01-25,1.87
2015-01-25,1.2
2015-01-25,1.41
2015-01-25,1.03
2015-01-25,1.82
2015-01-25,1.17
2015-01-25,2.01
2015-01-25,1.5
2015-01-25,1.6
2015-01-25,1.06
2015-01-25,1.3
2015-01-25,1.18
2015-01-25,2.29
2015-01-25,1.22
2015-01-25,1.83
2015-01-25,0.93
2015-01-25,1.26
2015-01-25,1.08
2015-01-25,1.67
2015-01-25,0.8
2015-01-25,1.34
2015-01-25,1.02
2015-01-25,1.33
2015-01-25,1.19
2015-01-25,1.62
2015-01-25,1.19
2015-01-25,2.01
2015-01-25,1.13
2015-01-25,1.63
2015-01-25,1.17
2015-01-25,1.8
2015-01-25,1.35
2015-01-25,2.21
2015-01-25,0.77
2015-01-25,1.24
2015-01-25,1.06
2015-01-25,1.78
2015-01-25,1.2
2015-01-25,1.88
2015-01-25,1.06
2015-01-25,1.66
2015-01-25,0.96
2015-01-25,1.23
2015-01-25,1.02
2015-01-25,1.68
2015-01-25,1.27
2015-01-25,1.84
2015-01-25,1.15
2015-01-25,1.63
2015-01-25,1.07
2015-01-25,1.71
2015-01-25,0.94
2015-01-25,1.47
2015-01-25,1.36
2015-01-25,2.02
2015-01-25,1.27
2015-01-25,1.92
2015-01-25,1.06
2015-01-25,1.9
2015-01-25,1.28
2015-01-25,1.82
2015-01-25,1.36
2015-01-25,1.82
2015-01-25,0.61
2015-01-25,1.54
2015-01-25,1.32
2015-01-25,1.7
2015-01-25,1.08
2015-01-25,1.8
2015-01-25,1.09
2015-01-25,1.35
2015-01-25,1.16
2015-01-25,2.02
2015-01-25,1.17
2015-01-25,1.57
2015-01-25,1.15
2015-01-25,1.47
2015-01-25,1.19
2015-01-25,1.44
2015-01-25,1.02
2015-01-25,1.26
2015-01-25,1.21
2015-01-25,1.34
2015-01-25,1.26
2015-01-25,1.7
2015-01-25,1.06
2015-01-25,2.01
2015-01-25,0.81
2015-01-25,1.37
2015-01-25,1.15
2015-01-25,1.81
2015-01-25,1.21
2015-01-25,1.66
2015-01-25,1.17
2015-01-25,1.93
2015-01-25,1.37
2015-01-25,1.77
2015-01-25,1.21
2015-01-25,1.75
2015-01-25,1.04
2015-01-25,1.53
2015-01-25,0.94
2015-01-25,1.52
2015-01-25,0.8
2015-01-25,1.63
2015-02-01,0.99
2015-02-01,1.83
2015-02-01,0.96
2015-02-01,1.44
2015-02-01,1.06
2015-02-01,1.15
2015-02-01,0.91
2015-02-01,1.43
2015-02-01,1.22
2015-02-01,1.78
2015-02-01,1.33
2015-02-01,1.55
2015-02-01,0.85
2015-02-01,1.11
2015-02-01,0.98
2015-02-01,1.93
2015-02-01,0.91
2015-02-01,1.52
2015-02-01,0.86
2015-02-01,1.19
2015-02-01,0.87
2015-02-01,1.63
2015-02-01,0.68
2015-02-01,1.24
2015-02-01,0.93
2015-02-01,1.29
2015-02-01,0.92
2015-02-01,1.55
2015-02-01,0.94
2015-02-01,1.98
2015-02-01,0.91
2015-02-01,1.53
2015-02-01,1.06
2015-02-01,1.65
2015-02-01,1.32
2015-02-01,1.54
2015-02-01,0.72
2015-02-01,1.15
2015-02-01,0.92
2015-02-01,1.69
2015-02-01,0.92
2015-02-01,1.76
2015-02-01,0.94
2015-02-01,1.6
2015-02-01,0.74
2015-02-01,1.12
2015-02-01,0.9
2015-02-01,1.55
2015-02-01,0.95
2015-02-01,1.73
2015-02-01,0.99
2015-02-01,1.44
2015-02-01,0.94
2015-02-01,1.65
2015-02-01,0.81
2015-02-01,1.48
2015-02-01,1.36
2015-02-01,1.93
2015-02-01,1.23
2015-02-01,1.78
2015-02-01,1.06
2015-02-01,1.89
2015-02-01,0.95
2015-02-01,1.76
2015-02-01,1.14
2015-02-01,1.69
2015-02-01,0.56
2015-02-01,1.18
2015-02-01,1.25
2015-02-01,1.77
2015-02-01,0.92
2015-02-01,1.67
2015-02-01,0.98
2015-02-01,1.2
2015-02-01,0.99
2015-02-01,1.79
2015-02-01,0.97
2015-02-01,1.58
2015-02-01,1.0
2015-02-01,1.5
2015-02-01,1.04
2015-02-01,1.22
2015-02-01,0.85
2015-02-01,1.11
2015-02-01,0.91
2015-02-01,1.06
2015-02-01,0.97
2015-02-01,1.44
2015-02-01,0.91
2015-02-01,1.66
2015-02-01,0.71
2015-02-01,1.28
2015-02-01,0.93
2015-02-01,1.6
2015-02-01,0.97
2015-02-01,1.38
2015-02-01,1.1
2015-02-01,1.93
2015-02-01,1.26
2015-02-01,1.65
2015-02-01,0.92
2015-02-01,1.68
2015-02-01,0.89
2015-02-01,1.36
2015-02-01,0.84
2015-02-01,1.34
2015-02-01,0.71
2015-02-01,1.77
2015-02-08,0.99
2015-02-08,1.59
2015-02-08,1.03
2015-02-08,1.29
2015-02-08,1.09
2015-02-08,1.43
2015-02-08,1.07
2015-02-08,1.35
2015-02-08,1.04
2015-02-08,1.91
2015-02-08,1.36
2015-02-08,1.54
2015-02-08,0.91
2015-02-08,1.35
2015-02-08,1.17
2015-02-08,1.87
2015-02-08,1.13
2015-02-08,1.78
2015-02-08,0.93
2015-02-08,1.24
2015-02-08,0.96
2015-02-08,1.78
2015-02-08,0.67
2015-02-08,1.35
2015-02-08,0.95
2015-02-08,1.4
2015-02-08,1.11
2015-02-08,1.86
2015-02-08,1.24
2015-02-08,1.79
2015-02-08,1.07
2015-02-08,1.64
2015-02-08,1.02
2015-02-08,1.67
2015-02-08,1.09
2015-02-08,2.37
2015-02-08,0.7
2015-02-08,1.25
2015-02-08,0.98
2015-02-08,1.68
2015-02-08,1.21
2015-02-08,1.71
2015-02-08,1.01
2015-02-08,1.68
2015-02-08,0.9
2015-02-08,1.29
2015-02-08,1.0
2015-02-08,1.61
2015-02-08,1.25
2015-02-08,1.72
2015-02-08,1.06
2015-02-08,1.58
2015-02-08,0.94
2015-02-08,1.64
2015-02-08,0.93
2015-02-08,1.53
2015-02-08,1.11
2015-02-08,1.95
2015-02-08,1.09
2015-02-08,1.85
2015-02-08,1.03
2015-02-08,1.88
2015-02-08,1.23
2015-02-08,1.75
2015-02-08,1.09
2015-02-08,1.76
2015-02-08,0.64
2015-02-08,1.55
2015-02-08,1.38
2015-02-08,1.6
2015-02-08,0.98
2015-02-08,1.54
2015-02-08,1.08
2015-02-08,1.23
2015-02-08,1.14
2015-02-08,1.73
2015-02-08,1.06
2015-02-08,1.55
2015-02-08,1.02
2015-02-08,1.44
2015-02-08,0.98
2015-02-08,1.5
2015-02-08,0.98
2015-02-08,1.29
2015-02-08,0.92
2015-02-08,1.35
2015-02-08,1.08
2015-02-08,1.4
2015-02-08,1.06
2015-02-08,1.56
2015-02-08,0.73
2015-02-08,1.39
2015-02-08,1.11
2015-02-08,1.51
2015-02-08,1.03
2015-02-08,1.43
2015-02-08,1.09
2015-02-08,1.89
2015-02-08,1.25
2015-02-08,1.65
2015-02-08,1.19
2015-02-08,1.65
2015-02-08,0.95
2015-02-08,1.48
2015-02-08,0.89
2015-02-08,1.4
2015-02-08,0.72
2015-02-08,1.66
2015-02-15,1.06
2015-02-15,1.81
2015-02-15,1.06
2015-02-15,1.46
2015-02-15,1.25
2015-02-15,1.56
2015-02-15,1.14
2015-02-15,1.62
2015-02-15,1.2
2015-02-15,1.91
2015-02-15,1.44
2015-02-15,1.65
2015-02-15,0.96
2015-02-15,1.52
2015-02-15,1.22
2015-02-15,1.92
2015-02-15,1.17
2015-02-15,1.81
2015-02-15,0.94
2015-02-15,1.22
2015-02-15,1.05
2015-02-15,1.64
2015-02-15,0.77
2015-02-15,1.41
2015-02-15,1.12
2015-02-15,1.44
2015-02-15,1.16
2015-02-15,1.82
2015-02-15,1.21
2015-02-15,1.88
2015-02-15,1.15
2015-02-15,1.65
2015-02-15,1.22
2015-02-15,1.65
2015-02-15,1.39
2015-02-15,2.13
2015-02-15,0.73
2015-02-15,1.29
2015-02-15,1.3
2015-02-15,1.77
2015-02-15,1.24
2015-02-15,1.82
2015-02-15,1.12
2015-02-15,1.79
2015-02-15,0.83
2015-02-15,1.43
2015-02-15,1.13
2015-02-15,1.75
2015-02-15,1.29
2015-02-15,1.75
2015-02-15,1.17
2015-02-15,1.48
2015-02-15,1.03
2015-02-15,1.11
2015-02-15,1.02
2015-02-15,1.48
2015-02-15,1.36
2015-02-15,1.91
2015-02-15,1.29
2015-02-15,1.84
2015-02-15,1.11
2015-02-15,1.87
2015-02-15,1.26
2015-02-15,1.85
2015-02-15,1.34
2015-02-15,1.68
2015-02-15,0.6
2015-02-15,1.66
2015-02-15,1.43
2015-02-15,1.71
2015-02-15,1.05
2015-02-15,1.68
2015-02-15,1.23
2015-02-15,1.51
2015-02-15,1.21
2015-02-15,1.69
2015-02-15,1.13
2015-02-15,1.59
2015-02-15,1.07
2015-02-15,1.46
2015-02-15,1.13
2015-02-15,1.63
2015-02-15,0.94
2015-02-15,1.49
2015-02-15,1.23
2015-02-15,1.55
2015-02-15,1.33
2015-02-15,1.59
2015-02-15,1.11
2015-02-15,1.72
2015-02-15,0.8
2015-02-15,1.39
2015-02-15,1.16
2015-02-15,1.64
2015-02-15,1.24
2015-02-15,1.51
2015-02-15,1.23
2015-02-15,1.82
2015-02-15,1.35
2015-02-15,1.72
2015-02-15,1.21
2015-02-15,1.75
2015-02-15,1.03
2015-02-15,1.58
2015-02-15,0.98
2015-02-15,1.58
2015-02-15,0.78
2015-02-15,1.7
2015-02-22,1.07
2015-02-22,1.82
2015-02-22,1.1
2015-02-22,1.38
2015-02-22,1.11
2015-02-22,1.19
2015-02-22,0.99
2015-02-22,1.75
2015-02-22,1.23
2015-02-22,1.74
2015-02-22,1.41
2015-02-22,1.53
2015-02-22,0.96
2015-02-22,1.41
2015-02-22,1.08
2015-02-22,1.9
2015-02-22,1.18
2015-02-22,1.83
2015-02-22,0.93
2015-02-22,1.23
2015-02-22,1.09
2015-02-22,1.79
2015-02-22,0.8
2015-02-22,1.38
2015-02-22,1.0
2015-02-22,1.4
2015-02-22,1.15
2015-02-22,1.85
2015-02-22,1.31
2015-02-22,1.89
2015-02-22,1.16
2015-02-22,1.68
2015-02-22,1.2
2015-02-22,1.68
2015-02-22,1.38
2015-02-22,2.38
2015-02-22,0.82
2015-02-22,1.26
2015-02-22,1.34
2015-02-22,1.87
2015-02-22,1.1
2015-02-22,1.77
2015-02-22,1.16
2015-02-22,1.79
2015-02-22,0.83
2015-02-22,1.36
2015-02-22,1.01
2015-02-22,1.67
2015-02-22,1.24
2015-02-22,1.92
2015-02-22,1.1
2015-02-22,1.4
2015-02-22,1.05
2015-02-22,1.32
2015-02-22,0.92
2015-02-22,1.52
2015-02-22,1.33
2015-02-22,2.21
2015-02-22,1.29
2015-02-22,1.9
2015-02-22,1.13
2015-02-22,1.82
2015-02-22,1.18
2015-02-22,1.76
2015-02-22,1.36
2015-02-22,1.75
2015-02-22,0.63
2015-02-22,1.59
2015-02-22,1.26
2015-02-22,1.71
2015-02-22,1.08
2015-02-22,1.66
2015-02-22,1.11
2015-02-22,1.38
2015-02-22,1.11
2015-02-22,1.77
2015-02-22,1.1
2015-02-22,1.51
2015-02-22,1.09
2015-02-22,1.36
2015-02-22,1.14
2015-02-22,1.51
2015-02-22,0.92
2015-02-22,1.44
2015-02-22,1.23
2015-02-22,1.39
2015-02-22,1.11
2015-02-22,1.5
2015-02-22,1.02
2015-02-22,1.69
2015-02-22,0.85
2015-02-22,1.37
2015-02-22,1.11
2015-02-22,1.59
2015-02-22,1.03
2015-02-22,1.41
2015-02-22,1.32
2015-02-22,1.8
2015-02-22,1.33
2015-02-22,1.57
2015-02-22,1.12
2015-02-22,1.68
2015-02-22,1.02
2015-02-22,1.51
2015-02-22,0.95
2015-02-22,1.48
2015-02-22,0.85
2015-02-22,1.71
2015-03-01,0.99
2015-03-01,1.76
2015-03-01,0.99
2015-03-01,1.22
2015-03-01,1.16
2015-03-01,1.58
2015-03-01,1.06
2015-03-01,1.68
2015-03-01,1.11
2015-03-01,1.85
2015-03-01,1.43
2015-03-01,1.55
2015-03-01,0.84
2015-03-01,1.15
2015-03-01,1.18
2015-03-01,1.9
2015-03-01,1.09
2015-03-01,1.82
2015-03-01,0.89
2015-03-01,1.24
2015-03-01,1.03
2015-03-01,1.86
2015-03-01,0.82
2015-03-01,1.29
2015-03-01,1.03
2015-03-01,1.27
2015-03-01,0.97
2015-03-01,1.92
2015-03-01,0.95
2015-03-01,1.84
2015-03-01,1.02
2015-03-01,1.69
2015-03-01,1.07
2015-03-01,1.74
2015-03-01,1.12
2015-03-01,2.17
2015-03-01,0.87
2015-03-01,1.2
2015-03-01,1.13
2015-03-01,1.79
2015-03-01,1.01
2015-03-01,1.75
2015-03-01,1.05
2015-03-01,1.61
2015-03-01,0.75
2015-03-01,1.14
2015-03-01,1.02
2015-03-01,1.65
2015-03-01,1.01
2015-03-01,1.75
2015-03-01,1.14
2015-03-01,1.61
2015-03-01,0.99
2015-03-01,1.76
2015-03-01,1.08
2015-03-01,1.54
2015-03-01,1.18
2015-03-01,2.0
2015-03-01,1.15
2015-03-01,1.85
2015-03-01,1.05
2015-03-01,1.82
2015-03-01,1.0
2015-03-01,1.7
2015-03-01,1.24
2015-03-01,1.83
2015-03-01,0.7
2015-03-01,1.37
2015-03-01,1.25
2015-03-01,1.63
2015-03-01,1.09
2015-03-01,1.7
2015-03-01,0.94
2015-03-01,1.32
2015-03-01,1.2
2015-03-01,1.73
2015-03-01,1.13
2015-03-01,1.47
2015-03-01,1.11
2015-03-01,1.33
2015-03-01,1.02
2015-03-01,1.22
2015-03-01,0.83
2015-03-01,1.09
2015-03-01,0.95
2015-03-01,1.09
2015-03-01,1.07
2015-03-01,1.71
2015-03-01,1.05
2015-03-01,1.52
2015-03-01,0.87
2015-03-01,1.34
2015-03-01,1.01
2015-03-01,1.46
2015-03-01,1.03
2015-03-01,1.58
2015-03-01,1.24
2015-03-01,1.85
2015-03-01,1.32
2015-03-01,1.59
2015-03-01,1.0
2015-03-01,1.63
2015-03-01,0.97
2015-03-01,1.4
2015-03-01,0.95
2015-03-01,1.4
2015-03-01,0.84
2015-03-01,1.64
2015-03-08,1.07
2015-03-08,1.79
2015-03-08,1.1
2015-03-08,1.22
2015-03-08,1.26
2015-03-08,1.56
2015-03-08,1.14
2015-03-08,1.5
2015-03-08,1.17
2015-03-08,1.91
2015-03-08,1.35
2015-03-08,1.56
2015-03-08,0.96
2015-03-08,1.48
2015-03-08,1.25
2015-03-08,1.84
2015-03-08,1.18
2015-03-08,1.62
2015-03-08,0.87
2015-03-08,1.17
2015-03-08,0.95
2015-03-08,1.84
2015-03-08,0.75
2015-03-08,1.39
2015-03-08,1.03
2015-03-08,1.09
2015-03-08,1.01
2015-03-08,1.83
2015-03-08,1.08
2015-03-08,1.78
2015-03-08,1.04
2015-03-08,1.6
2015-03-08,1.15
2015-03-08,1.6
2015-03-08,1.43
2015-03-08,2.18
2015-03-08,0.78
2015-03-08,1.31
2015-03-08,1.07
2015-03-08,1.69
2015-03-08,1.24
2015-03-08,1.81
2015-03-08,1.01
2015-03-08,1.78
2015-03-08,0.86
2015-03-08,1.35
2015-03-08,1.18
2015-03-08,1.72
2015-03-08,1.3
2015-03-08,1.69
2015-03-08,1.21
2015-03-08,1.62
2015-03-08,1.08
2015-03-08,1.8
2015-03-08,1.06
2015-03-08,1.65
2015-03-08,1.36
2015-03-08,1.9
2015-03-08,1.27
2015-03-08,1.79
2015-03-08,1.09
2015-03-08,1.87
2015-03-08,1.27
2015-03-08,1.75
2015-03-08,1.4
2015-03-08,1.63
2015-03-08,0.72
2015-03-08,1.52
2015-03-08,0.95
2015-03-08,1.65
2015-03-08,1.11
2015-03-08,1.68
2015-03-08,1.17
2015-03-08,1.45
2015-03-08,1.24
2015-03-08,1.74
2015-03-08,1.19
2015-03-08,1.57
2015-03-08,1.16
2015-03-08,1.48
2015-03-08,1.12
2015-03-08,1.6
2015-03-08,0.95
2015-03-08,1.48
2015-03-08,1.16
2015-03-08,1.56
2015-03-08,1.24
2015-03-08,1.62
2015-03-08,1.14
2015-03-08,1.53
2015-03-08,0.8
2015-03-08,1.44
2015-03-08,1.18
2015-03-08,1.47
2015-03-08,1.18
2015-03-08,1.55
2015-03-08,1.36
2015-03-08,1.65
2015-03-08,1.28
2015-03-08,1.6
2015-03-08,1.22
2015-03-08,1.65
2015-03-08,1.02
2015-03-08,1.49
2015-03-08,0.99
2015-03-08,1.37
2015-03-08,0.73
2015-03-08,1.59
2015-03-15,1.11
2015-03-15,1.79
2015-03-15,1.12
2015-03-15,1.19
2015-03-15,1.24
2015-03-15,1.59
2015-03-15,1.0
2015-03-15,1.63
2015-03-15,1.25
2015-03-15,1.99
2015-03-15,1.47
2015-03-15,1.79
2015-03-15,1.06
2015-03-15,1.52
2015-03-15,1.19
2015-03-15,1.87
2015-03-15,1.09
2015-03-15,1.64
2015-03-15,0.94
2015-03-15,1.22
2015-03-15,1.01
2015-03-15,1.65
2015-03-15,0.72
2015-03-15,1.34
2015-03-15,1.03
2015-03-15,1.12
2015-03-15,1.13
2015-03-15,1.49
2015-03-15,1.35
2015-03-15,1.87
2015-03-15,1.1
2015-03-15,1.55
2015-03-15,1.2
2015-03-15,1.72
2015-03-15,1.4
2015-03-15,2.26
2015-03-15,0.77
2015-03-15,1.27
2015-03-15,1.21
2015-03-15,1.78
2015-03-15,1.27
2015-03-15,1.86
2015-03-15,1.07
2015-03-15,1.89
2015-03-15,0.94
2015-03-15,1.42
2015-03-15,1.21
2015-03-15,1.65
2015-03-15,1.33
2015-03-15,1.73
2015-03-15,1.19
2015-03-15,1.65
2015-03-15,1.08
2015-03-15,1.78
2015-03-15,1.09
2015-03-15,1.55
2015-03-15,1.45
2015-03-15,1.81
2015-03-15,1.34
2015-03-15,1.83
2015-03-15,1.15
2015-03-15,1.9
2015-03-15,1.27
2015-03-15,1.82
2015-03-15,1.44
2015-03-15,1.7
2015-03-15,0.6
2015-03-15,1.56
2015-03-15,1.23
2015-03-15,1.68
2015-03-15,1.1
2015-03-15,1.67
2015-03-15,1.21
2015-03-15,1.61
2015-03-15,1.18
2015-03-15,1.87
2015-03-15,1.16
2015-03-15,1.57
2015-03-15,1.12
2015-03-15,1.5
2015-03-15,1.22
2015-03-15,1.63
2015-03-15,1.06
2015-03-15,1.49
2015-03-15,1.26
2015-03-15,1.56
2015-03-15,1.24
2015-03-15,1.8
2015-03-15,1.15
2015-03-15,1.5
2015-03-15,0.79
2015-03-15,1.38
2015-03-15,1.21
2015-03-15,1.48
2015-03-15,1.19
2015-03-15,1.66
2015-03-15,1.33
2015-03-15,1.81
2015-03-15,1.36
2015-03-15,1.67
2015-03-15,1.25
2015-03-15,1.68
2015-03-15,1.04
2015-03-15,1.5
2015-03-15,0.94
2015-03-15,1.41
2015-03-15,0.75
2015-03-15,1.82
2015-03-22,1.12
2015-03-22,1.86
2015-03-22,1.0
2015-03-22,1.62
2015-03-22,1.1
2015-03-22,1.25
2015-03-22,1.17
2015-03-22,1.51
2015-03-22,1.18
2015-03-22,1.94
2015-03-22,1.4
2015-03-22,1.93
2015-03-22,1.06
2015-03-22,1.3
2015-03-22,1.19
2015-03-22,1.9
2015-03-22,1.21
2015-03-22,1.67
2015-03-22,0.98
2015-03-22,1.25
2015-03-22,0.94
2015-03-22,1.91
2015-03-22,0.67
2015-03-22,1.29
2015-03-22,1.15
2015-03-22,1.39
2015-03-22,0.97
2015-03-22,1.78
2015-03-22,0.91
2015-03-22,2.01
2015-03-22,1.04
2015-03-22,1.63
2015-03-22,1.08
2015-03-22,2.09
2015-03-22,1.11
2015-03-22,2.18
2015-03-22,0.8
2015-03-22,1.24
2015-03-22,1.11
2015-03-22,1.95
2015-03-22,0.96
2015-03-22,1.78
2015-03-22,0.9
2015-03-22,1.46
2015-03-22,1.01
2015-03-22,1.25
2015-03-22,0.99
2015-03-22,1.76
2015-03-22,0.97
2015-03-22,1.82
2015-03-22,1.11
2015-03-22,1.53
2015-03-22,1.01
2015-03-22,1.64
2015-03-22,0.9
2015-03-22,1.56
2015-03-22,1.33
2015-03-22,2.02
2015-03-22,1.22
2015-03-22,1.92
2015-03-22,1.19
2015-03-22,1.88
2015-03-22,0.98
2015-03-22,1.77
2015-03-22,1.18
2015-03-22,1.84
2015-03-22,0.71
2015-03-22,1.37
2015-03-22,1.23
2015-03-22,1.47
2015-03-22,1.09
2015-03-22,1.8
2015-03-22,1.1
2015-03-22,1.29
2015-03-22,1.19
2015-03-22,1.85
2015-03-22,1.12
2015-03-22,1.52
2015-03-22,1.09
2015-03-22,1.36
2015-03-22,1.13
2015-03-22,1.52
2015-03-22,0.96
